epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1904.78,1.18391,0.90999,1.29823,0.75654,0.6993,0.76753,0.44918,1.46117,1.01713,1.4984,0.008581,0.008581,0.008581
45,1947.66,1.16958,0.9032,1.28907,0.74235,0.70904,0.75508,0.43539,1.49054,1.05655,1.52307,0.008548,0.008548,0.008548
46,1990.13,1.17162,0.89238,1.29165,0.77248,0.70645,0.76917,0.44889,1.46597,1.01687,1.50692,0.008515,0.008515,0.008515
47,2032.83,1.16171,0.88089,1.27836,0.76786,0.7149,0.77055,0.45456,1.4547,1.01577,1.50719,0.008482,0.008482,0.008482
48,2075.81,1.1626,0.87615,1.27735,0.78732,0.69881,0.7783,0.45918,1.46105,0.98804,1.49836,0.008449,0.008449,0.008449
49,2118.97,1.14955,0.87881,1.27452,0.78723,0.71452,0.78187,0.46349,1.42974,0.97403,1.47687,0.008416,0.008416,0.008416
50,2161.98,1.14458,0.85756,1.26515,0.77943,0.71277,0.78207,0.47054,1.40655,0.96202,1.46296,0.008383,0.008383,0.008383
51,2204.75,1.14298,0.85544,1.26783,0.79275,0.72587,0.78904,0.47325,1.43863,0.96102,1.47594,0.00835,0.00835,0.00835
52,2247.49,1.13941,0.85144,1.26686,0.76989,0.70775,0.77707,0.45717,1.46723,1.01665,1.4922,0.008317,0.008317,0.008317
53,2290.15,1.1338,0.84463,1.26082,0.79027,0.71402,0.78243,0.46639,1.43448,0.97399,1.48518,0.008284,0.008284,0.008284
54,2332.81,1.13539,0.84412,1.26191,0.7797,0.72256,0.78391,0.46999,1.43854,0.96858,1.47643,0.008251,0.008251,0.008251
55,2375.41,1.12061,0.82395,1.25128,0.79989,0.72996,0.79821,0.48096,1.41023,0.93895,1.46218,0.008218,0.008218,0.008218
56,2418.28,1.11314,0.82484,1.24889,0.78792,0.7248,0.7901,0.47163,1.44201,0.96263,1.49416,0.008185,0.008185,0.008185
57,2461.15,1.11748,0.81954,1.24773,0.78285,0.72805,0.79369,0.47938,1.42526,0.95682,1.46989,0.008152,0.008152,0.008152
58,2503.82,1.10554,0.81244,1.23639,0.80555,0.71969,0.79972,0.48523,1.40679,0.92048,1.46337,0.008119,0.008119,0.008119
59,2546.78,1.10889,0.80699,1.23874,0.78131,0.73623,0.79348,0.48139,1.41976,0.93835,1.46484,0.008086,0.008086,0.008086
60,2589.47,1.09531,0.79629,1.23478,0.81393,0.73687,0.80856,0.49641,1.39203,0.91436,1.46135,0.008053,0.008053,0.008053
61,2632.16,1.09983,0.79929,1.23456,0.80121,0.73554,0.79912,0.48635,1.41122,0.92596,1.47229,0.00802,0.00802,0.00802
62,2675.09,1.08823,0.79025,1.22657,0.80242,0.74881,0.81165,0.50089,1.39238,0.88675,1.4434,0.007987,0.007987,0.007987
63,2717.95,1.09024,0.79296,1.22399,0.80785,0.73234,0.8017,0.48498,1.41038,0.92643,1.46564,0.007954,0.007954,0.007954
64,2760.94,1.08201,0.78481,1.22189,0.82137,0.74577,0.81094,0.49213,1.41191,0.90979,1.46379,0.007921,0.007921,0.007921
65,2803.59,1.07929,0.77342,1.22226,0.80533,0.74792,0.80751,0.49214,1.39946,0.90576,1.45532,0.007888,0.007888,0.007888
66,2846.44,1.07653,0.76998,1.22098,0.81585,0.74979,0.8098,0.49557,1.39782,0.88282,1.44894,0.007855,0.007855,0.007855
67,2889.02,1.07282,0.76548,1.22126,0.80827,0.75611,0.81759,0.50221,1.39068,0.89005,1.44145,0.007822,0.007822,0.007822
68,2931.91,1.06434,0.75537,1.20892,0.81544,0.75187,0.81833,0.50592,1.38302,0.88849,1.44942,0.007789,0.007789,0.007789
69,2974.72,1.06593,0.75921,1.20959,0.81475,0.74487,0.81448,0.50454,1.37894,0.8906,1.44572,0.007756,0.007756,0.007756
70,3017.48,1.05147,0.75154,1.20808,0.81991,0.75594,0.82011,0.51085,1.36117,0.87079,1.42656,0.007723,0.007723,0.007723
71,3060.22,1.06212,0.75655,1.20724,0.81963,0.75526,0.82584,0.51728,1.36601,0.85923,1.43367,0.00769,0.00769,0.00769
72,3103.19,1.04378,0.74337,1.199,0.81725,0.75737,0.82056,0.50969,1.37565,0.86295,1.44019,0.007657,0.007657,0.007657
73,3145.82,1.04364,0.73831,1.1941,0.81405,0.7649,0.82232,0.50914,1.37355,0.88219,1.4397,0.007624,0.007624,0.007624
74,3188.67,1.0416,0.73431,1.19009,0.81009,0.75301,0.81766,0.51152,1.35853,0.86802,1.41936,0.007591,0.007591,0.007591
75,3231.23,1.04826,0.73902,1.19521,0.8225,0.76911,0.82864,0.52235,1.34712,0.84684,1.4264,0.007558,0.007558,0.007558
76,3274.23,1.03766,0.72847,1.1925,0.81195,0.76096,0.82474,0.51336,1.36155,0.87059,1.43079,0.007525,0.007525,0.007525
77,3316.89,1.02936,0.72614,1.18662,0.82487,0.75759,0.82752,0.51875,1.35442,0.84359,1.42632,0.007492,0.007492,0.007492
78,3359.77,1.025,0.71985,1.18358,0.81777,0.75931,0.82215,0.51754,1.35667,0.84643,1.4207,0.007459,0.007459,0.007459
79,3402.34,1.02445,0.71386,1.1807,0.83668,0.77335,0.83475,0.52917,1.34398,0.82587,1.42155,0.007426,0.007426,0.007426
80,3445.1,1.02035,0.71115,1.17793,0.83096,0.7656,0.83026,0.52148,1.35859,0.83364,1.43053,0.007393,0.007393,0.007393
81,3487.85,1.01171,0.70184,1.17479,0.83257,0.7847,0.83845,0.53037,1.3406,0.81634,1.4232,0.00736,0.00736,0.00736
82,3530.7,1.01581,0.70864,1.17552,0.84298,0.77351,0.83952,0.53421,1.33239,0.8052,1.41101,0.007327,0.007327,0.007327
83,3573.55,1.01755,0.70757,1.17742,0.83683,0.77675,0.84309,0.53801,1.32632,0.81073,1.40862,0.007294,0.007294,0.007294
84,3616.49,1.01468,0.69847,1.17131,0.82473,0.77967,0.83756,0.53276,1.32508,0.81257,1.40899,0.007261,0.007261,0.007261
85,3659.19,0.99928,0.69257,1.16848,0.84568,0.77108,0.83945,0.54125,1.31236,0.81132,1.39835,0.007228,0.007228,0.007228
86,3702.05,1.00401,0.69495,1.1666,0.83381,0.75696,0.82662,0.52587,1.33652,0.83177,1.41346,0.007195,0.007195,0.007195
87,3744.59,0.99365,0.68626,1.16418,0.84453,0.77461,0.8428,0.54031,1.31904,0.79774,1.40165,0.007162,0.007162,0.007162
88,3787.22,0.99087,0.67943,1.16196,0.84528,0.77654,0.84445,0.5479,1.31131,0.79307,1.40102,0.007129,0.007129,0.007129
89,3829.89,0.98979,0.67957,1.15542,0.84593,0.7744,0.84006,0.5403,1.30364,0.80658,1.39457,0.007096,0.007096,0.007096
90,3872.8,0.99099,0.67432,1.15736,0.83768,0.77823,0.84216,0.54588,1.30886,0.79412,1.39444,0.007063,0.007063,0.007063
91,3915.47,0.98784,0.68404,1.16008,0.83812,0.77833,0.84206,0.54333,1.30862,0.80417,1.40633,0.00703,0.00703,0.00703
92,3958.14,0.98864,0.67662,1.15769,0.84414,0.78501,0.84731,0.55031,1.3012,0.78787,1.39273,0.006997,0.006997,0.006997
93,4000.89,0.97649,0.67218,1.15409,0.83771,0.79165,0.8478,0.5494,1.30351,0.78113,1.3917,0.006964,0.006964,0.006964
94,4043.44,0.9783,0.66561,1.1526,0.86344,0.77068,0.8472,0.55102,1.31093,0.77894,1.39819,0.006931,0.006931,0.006931
95,4086.25,0.97485,0.6653,1.14855,0.86448,0.78344,0.85497,0.56064,1.2892,0.7777,1.38917,0.006898,0.006898,0.006898
96,4129.14,0.96606,0.65469,1.14436,0.84375,0.78709,0.84817,0.55651,1.28981,0.77702,1.38641,0.006865,0.006865,0.006865
97,4171.58,0.96793,0.66537,1.14773,0.85598,0.78102,0.85548,0.56388,1.27471,0.76246,1.37931,0.006832,0.006832,0.006832
98,4214.59,0.95877,0.65105,1.1417,0.84524,0.78594,0.85048,0.55972,1.27921,0.77321,1.37826,0.006799,0.006799,0.006799
99,4257.2,0.95818,0.65018,1.14074,0.85327,0.78541,0.85163,0.55851,1.27816,0.76848,1.37694,0.006766,0.006766,0.006766
100,4300.1,0.96285,0.64947,1.14122,0.84984,0.79551,0.85207,0.5587,1.28094,0.77043,1.38012,0.006733,0.006733,0.006733
101,4342.61,0.95127,0.64445,1.137,0.8501,0.79774,0.85499,0.56401,1.27547,0.76259,1.38003,0.0067,0.0067,0.0067
102,4385.69,0.94951,0.64483,1.13541,0.86138,0.78918,0.8553,0.56416,1.28029,0.75887,1.39096,0.006667,0.006667,0.006667
103,4428.37,0.94763,0.64029,1.13363,0.85379,0.79526,0.85582,0.56477,1.27134,0.76583,1.37452,0.006634,0.006634,0.006634
104,4470.98,0.94716,0.63921,1.1313,0.86445,0.79235,0.85842,0.57023,1.26304,0.74676,1.37174,0.006601,0.006601,0.006601
105,4513.67,0.94077,0.63514,1.12867,0.86251,0.79454,0.86183,0.57295,1.26284,0.75329,1.3683,0.006568,0.006568,0.006568
106,4556.48,0.94517,0.63417,1.13006,0.86091,0.80019,0.86108,0.57478,1.25098,0.74331,1.35281,0.006535,0.006535,0.006535
107,4599.16,0.93538,0.63567,1.13044,0.85409,0.80368,0.86059,0.57121,1.25235,0.74492,1.36103,0.006502,0.006502,0.006502
108,4641.95,0.92979,0.62436,1.12352,0.84673,0.80552,0.86117,0.57353,1.25023,0.74583,1.37155,0.006469,0.006469,0.006469
109,4684.53,0.93633,0.62508,1.12451,0.85305,0.80021,0.86112,0.5751,1.24699,0.75064,1.36183,0.006436,0.006436,0.006436
110,4727.28,0.92446,0.62191,1.12024,0.85838,0.80086,0.86209,0.57589,1.24476,0.73696,1.35644,0.006403,0.006403,0.006403
111,4769.97,0.92695,0.62035,1.12149,0.86272,0.79927,0.86093,0.57723,1.24651,0.73917,1.36778,0.00637,0.00637,0.00637
112,4812.76,0.92399,0.61935,1.11988,0.85917,0.80533,0.86196,0.57929,1.23746,0.73403,1.35969,0.006337,0.006337,0.006337
113,4855.62,0.92305,0.62423,1.11983,0.86792,0.80004,0.86381,0.58121,1.2422,0.73793,1.35963,0.006304,0.006304,0.006304
114,4898.44,0.91559,0.61472,1.11465,0.86217,0.80423,0.86324,0.58142,1.24301,0.73051,1.36435,0.006271,0.006271,0.006271
115,4941.27,0.9139,0.60933,1.11591,0.86483,0.80755,0.86852,0.58255,1.22231,0.72393,1.34431,0.006238,0.006238,0.006238
116,4984.09,0.91267,0.61314,1.11307,0.86449,0.80563,0.86502,0.58534,1.21336,0.72851,1.34345,0.006205,0.006205,0.006205
117,5026.81,0.91205,0.60473,1.11015,0.86881,0.80717,0.86793,0.58854,1.22003,0.72432,1.35293,0.006172,0.006172,0.006172
118,5069.46,0.90916,0.60472,1.11093,0.87118,0.7957,0.86536,0.58975,1.22059,0.72465,1.35574,0.006139,0.006139,0.006139
119,5112.12,0.90244,0.6024,1.10892,0.86792,0.80166,0.86393,0.58727,1.21706,0.72503,1.35148,0.006106,0.006106,0.006106
120,5154.65,0.89997,0.60053,1.10277,0.87477,0.79827,0.86589,0.5883,1.21297,0.72196,1.34921,0.006073,0.006073,0.006073
121,5197.19,0.90089,0.60397,1.10999,0.86963,0.8032,0.86808,0.59024,1.21216,0.72038,1.3516,0.00604,0.00604,0.00604
122,5239.92,0.89302,0.59424,1.10537,0.8713,0.80522,0.86986,0.59017,1.21398,0.71405,1.35768,0.006007,0.006007,0.006007
123,5282.59,0.89295,0.59625,1.1029,0.87431,0.8055,0.87128,0.59441,1.20931,0.70958,1.34349,0.005974,0.005974,0.005974
124,5325.33,0.88974,0.59009,1.10212,0.86825,0.81118,0.87321,0.59507,1.20991,0.70574,1.34906,0.005941,0.005941,0.005941
125,5368.02,0.88977,0.58803,1.10016,0.87096,0.80634,0.87226,0.59566,1.2015,0.702,1.34293,0.005908,0.005908,0.005908
126,5411.01,0.88716,0.59019,1.10063,0.87471,0.81003,0.87315,0.5996,1.19454,0.70711,1.33357,0.005875,0.005875,0.005875
127,5453.64,0.88524,0.5845,1.0961,0.87983,0.80349,0.87102,0.59724,1.19895,0.69374,1.34435,0.005842,0.005842,0.005842
128,5496.03,0.88325,0.58346,1.09397,0.87823,0.80337,0.87005,0.59492,1.20431,0.69914,1.34547,0.005809,0.005809,0.005809
129,5538.53,0.87723,0.58043,1.09344,0.86854,0.80718,0.87093,0.59781,1.19846,0.69735,1.34494,0.005776,0.005776,0.005776
130,5581.11,0.87507,0.58034,1.09732,0.8697,0.81877,0.8731,0.59957,1.1992,0.68798,1.34826,0.005743,0.005743,0.005743
131,5623.87,0.87486,0.57679,1.09275,0.87523,0.81071,0.87407,0.59968,1.19281,0.69249,1.34171,0.00571,0.00571,0.00571
132,5666.52,0.86729,0.57418,1.08459,0.87211,0.81166,0.87308,0.60091,1.18948,0.6912,1.3393,0.005677,0.005677,0.005677
133,5709.42,0.87285,0.57391,1.08599,0.88251,0.81246,0.87671,0.60461,1.18253,0.68801,1.33692,0.005644,0.005644,0.005644
134,5752.15,0.86536,0.5717,1.08685,0.87028,0.81857,0.87535,0.60386,1.18611,0.68862,1.34177,0.005611,0.005611,0.005611
135,5794.78,0.86358,0.56655,1.08349,0.87371,0.81836,0.87642,0.60504,1.18924,0.68901,1.34595,0.005578,0.005578,0.005578
136,5837.64,0.86131,0.5664,1.08268,0.87297,0.81673,0.87534,0.60411,1.18982,0.68625,1.34696,0.005545,0.005545,0.005545
137,5880.08,0.86191,0.56797,1.08206,0.8743,0.81524,0.87607,0.60636,1.18018,0.68805,1.33928,0.005512,0.005512,0.005512
138,5922.78,0.85137,0.5595,1.0811,0.8813,0.81253,0.87484,0.60782,1.17705,0.68501,1.33536,0.005479,0.005479,0.005479
139,5965.57,0.86162,0.56263,1.082,0.87836,0.81261,0.87199,0.60561,1.17433,0.69056,1.33414,0.005446,0.005446,0.005446
140,6008.25,0.85467,0.55469,1.07911,0.8773,0.81444,0.8732,0.60601,1.17243,0.68756,1.33579,0.005413,0.005413,0.005413
141,6050.82,0.84646,0.55712,1.07681,0.8801,0.81572,0.87326,0.61022,1.17337,0.68425,1.33074,0.00538,0.00538,0.00538
142,6093.52,0.85375,0.56215,1.07955,0.88214,0.81155,0.87434,0.61053,1.16885,0.68449,1.32709,0.005347,0.005347,0.005347
143,6136.36,0.84501,0.55373,1.07757,0.887,0.80914,0.87441,0.61095,1.16925,0.68157,1.3285,0.005314,0.005314,0.005314
144,6179.26,0.84068,0.54796,1.06957,0.88861,0.81169,0.87502,0.6112,1.17008,0.68633,1.32964,0.005281,0.005281,0.005281
145,6222.01,0.84871,0.56074,1.07675,0.8944,0.80938,0.87823,0.61309,1.1689,0.68181,1.33161,0.005248,0.005248,0.005248
146,6264.73,0.84516,0.5507,1.07385,0.88882,0.81774,0.87913,0.61388,1.16521,0.68073,1.3316,0.005215,0.005215,0.005215
147,6307.55,0.83775,0.54516,1.07315,0.89073,0.81005,0.8786,0.61348,1.16684,0.68375,1.33083,0.005182,0.005182,0.005182
148,6350.27,0.83627,0.54769,1.06957,0.88631,0.81274,0.87911,0.61344,1.16246,0.67795,1.33233,0.005149,0.005149,0.005149
149,6392.67,0.83883,0.54546,1.0725,0.88975,0.81378,0.8795,0.61508,1.16278,0.67721,1.33226,0.005116,0.005116,0.005116
150,6435.56,0.82771,0.54236,1.06946,0.89241,0.81653,0.88068,0.61762,1.15936,0.671,1.32906,0.005083,0.005083,0.005083
151,6478.29,0.82702,0.53933,1.06667,0.89353,0.81944,0.88252,0.61808,1.1571,0.67563,1.32877,0.00505,0.00505,0.00505
152,6521.05,0.82104,0.53916,1.06254,0.88881,0.82231,0.88152,0.61767,1.15622,0.67914,1.32842,0.005017,0.005017,0.005017
153,6563.52,0.8247,0.5354,1.06427,0.88456,0.82086,0.88001,0.61857,1.15564,0.67784,1.3287,0.004984,0.004984,0.004984
154,6606.3,0.82928,0.53703,1.06681,0.87417,0.82852,0.8809,0.62093,1.15342,0.67343,1.33119,0.004951,0.004951,0.004951
155,6648.99,0.82527,0.53691,1.06292,0.8817,0.8231,0.87965,0.61984,1.15136,0.67259,1.33055,0.004918,0.004918,0.004918
156,6691.38,0.8128,0.53373,1.06248,0.88667,0.81955,0.87955,0.62005,1.15121,0.67291,1.33048,0.004885,0.004885,0.004885
157,6733.98,0.81729,0.53018,1.06155,0.88562,0.82225,0.88228,0.62136,1.14772,0.66951,1.32893,0.004852,0.004852,0.004852
158,6776.49,0.81486,0.52818,1.05925,0.88349,0.82459,0.88141,0.62098,1.14462,0.66689,1.32663,0.004819,0.004819,0.004819
159,6819.23,0.81248,0.52407,1.05685,0.88244,0.82715,0.88206,0.62244,1.14126,0.66632,1.32373,0.004786,0.004786,0.004786
160,6862.09,0.81188,0.52571,1.05626,0.88344,0.8258,0.88118,0.62279,1.13738,0.66882,1.32111,0.004753,0.004753,0.004753
161,6904.67,0.8129,0.52531,1.05684,0.88335,0.82567,0.88163,0.62254,1.1403,0.67183,1.32395,0.00472,0.00472,0.00472
162,6947.28,0.80761,0.52373,1.05357,0.88304,0.82444,0.88221,0.62513,1.13731,0.66967,1.3216,0.004687,0.004687,0.004687
163,6989.93,0.80231,0.52426,1.05274,0.88496,0.82346,0.88226,0.62575,1.13445,0.66809,1.32149,0.004654,0.004654,0.004654
164,7032.65,0.80716,0.52888,1.05435,0.8892,0.82369,0.88514,0.62707,1.13215,0.66539,1.32066,0.004621,0.004621,0.004621
165,7075.39,0.79853,0.52179,1.05398,0.89401,0.82126,0.88595,0.62692,1.13341,0.66509,1.32244,0.004588,0.004588,0.004588
166,7118.12,0.80012,0.51771,1.05058,0.89745,0.81844,0.88411,0.62671,1.13163,0.66275,1.32013,0.004555,0.004555,0.004555
167,7160.75,0.79287,0.50989,1.04751,0.89044,0.82624,0.88383,0.62679,1.13096,0.66412,1.32227,0.004522,0.004522,0.004522
168,7203.29,0.79859,0.51633,1.04752,0.89229,0.82533,0.88364,0.62777,1.13158,0.66378,1.32458,0.004489,0.004489,0.004489
169,7245.99,0.79574,0.51308,1.04865,0.89445,0.82711,0.88491,0.62854,1.1291,0.65943,1.32239,0.004456,0.004456,0.004456
170,7288.66,0.79564,0.51521,1.04968,0.89637,0.8246,0.88586,0.63045,1.12674,0.6587,1.3178,0.004423,0.004423,0.004423
171,7331.33,0.78692,0.51216,1.04526,0.89643,0.8232,0.88484,0.63131,1.12477,0.65742,1.31741,0.00439,0.00439,0.00439
172,7373.97,0.78418,0.50497,1.04307,0.89164,0.82571,0.88458,0.63115,1.12718,0.65552,1.31957,0.004357,0.004357,0.004357
173,7416.74,0.78895,0.51193,1.04483,0.88817,0.82891,0.88522,0.63127,1.12538,0.65501,1.31871,0.004324,0.004324,0.004324
174,7459.61,0.78505,0.50684,1.04272,0.893,0.8288,0.88566,0.63231,1.12182,0.65685,1.31751,0.004291,0.004291,0.004291
175,7502.3,0.78198,0.50103,1.04031,0.89309,0.8268,0.88519,0.63209,1.12174,0.65795,1.31817,0.004258,0.004258,0.004258
176,7545.11,0.77661,0.49919,1.04029,0.89234,0.82731,0.88578,0.63358,1.1209,0.65605,1.31837,0.004225,0.004225,0.004225
177,7587.79,0.77266,0.50208,1.03832,0.89741,0.82492,0.88491,0.63394,1.12162,0.65589,1.31994,0.004192,0.004192,0.004192
178,7630.6,0.77478,0.50146,1.03593,0.8937,0.82602,0.88484,0.63347,1.1184,0.65228,1.31819,0.004159,0.004159,0.004159
179,7673.13,0.77264,0.49742,1.03435,0.89503,0.8284,0.88554,0.6348,1.11813,0.6532,1.31846,0.004126,0.004126,0.004126
180,7715.87,0.76625,0.49188,1.03661,0.89386,0.82777,0.88512,0.6358,1.11864,0.65415,1.31964,0.004093,0.004093,0.004093
181,7758.53,0.768,0.49309,1.03531,0.89678,0.82627,0.88541,0.6355,1.11717,0.65373,1.31887,0.00406,0.00406,0.00406
182,7801.02,0.76758,0.49541,1.03369,0.89639,0.82749,0.88514,0.63527,1.11543,0.65258,1.31943,0.004027,0.004027,0.004027
183,7843.77,0.76906,0.493,1.036,0.89496,0.83136,0.88536,0.63642,1.11342,0.651,1.31727,0.003994,0.003994,0.003994
184,7886.62,0.7593,0.48677,1.03019,0.89537,0.8325,0.8863,0.63702,1.11296,0.64981,1.31796,0.003961,0.003961,0.003961
185,7929.36,0.7569,0.48894,1.02834,0.89591,0.83204,0.88716,0.63753,1.11242,0.65071,1.31709,0.003928,0.003928,0.003928
186,7972,0.7566,0.48553,1.0317,0.89422,0.83362,0.88728,0.63698,1.1091,0.64891,1.31475,0.003895,0.003895,0.003895
187,8014.69,0.75507,0.48365,1.02977,0.89395,0.83463,0.88736,0.63834,1.10719,0.64799,1.31318,0.003862,0.003862,0.003862
188,8057.39,0.75121,0.47975,1.02679,0.89573,0.83185,0.88818,0.63854,1.10685,0.64867,1.31356,0.003829,0.003829,0.003829
189,8100.12,0.75052,0.47997,1.02518,0.89455,0.83438,0.88823,0.6397,1.10379,0.64818,1.31037,0.003796,0.003796,0.003796
190,8142.91,0.74812,0.48155,1.0239,0.88987,0.84007,0.88805,0.64041,1.10203,0.64806,1.31033,0.003763,0.003763,0.003763
191,8185.54,0.74855,0.47923,1.02562,0.89526,0.83316,0.88778,0.64078,1.10101,0.64792,1.30972,0.00373,0.00373,0.00373
